author	description	retweet
trforceprincess	Part 18 of my Super Mario Odyssey playthroughPlaylist; https://t.co/yUP4e6Teqbhttps://t.co/so9L8ZajvB	False
santicampos40	Me ha gustado un vídeo de @YouTube (https://t.co/fQAhEVegMJ - ME PERSIGUE UN T REX EN NUEVA YORK! ! | Super Mario Odyssey Parte 24 |	False
__bcella	i’m on the final battle of Super Mario Odyssey, but i’ve been playing the game for so long, my eyes hurt AND I JUST… https://t.co/BeWpH9pRRW	False
miajoellesinger	@RileyJayDennis Switch is worth it anyways for Mario Odyssey and Breath of the Wild!	False
Richito3011	Me ha gustado un vídeo de @YouTube (https://t.co/zmY0T2JsdG - Que Emoción Ver todo Esto !! Épica Aventura - Super Mario Odyssey #9	False
crime_slime	My favorite part of Mario Odyssey is still how many asshole outfits you can dress him up in	False
LowtierWeeb	"RT @SmashBros_Nin: ""Wow, that new Mario Odyssey commercial was great, Nintendo really outdid themselves"" Me, an intellectual: https://t.c…"	True
mocchineo	RT @SoninGame: ¡Comenzamos DIRECTAZO de Super Mario Odyssey y... HOY vemos de nuevo al ENORME T-REX! #SoninOdyssey https://t.co/Cl9EYeoopO	True
derpdotmp3	@bwc66930 @lilrobotty Honestly Mario Odyssey is so much worth it than WWII. Disappointing campaign, stale Multiplay… https://t.co/A5OWw3ngZt	False
HiTopTae	RT @Deiakz: creo que prefiero sinceramente hacer el final de cuphead que volver a repetir el nuevo mundo de Mario Odyssey, es muy desespera…	True
